[CIE1964] 471
       xbar        ybar        zbar
360 1.22200e-07 1.33980e-08 5.35027e-07
361 1.85138e-07 2.02940e-08 8.10720e-07
362 2.78830e-07 3.05600e-08 1.22120e-06
363 4.17470e-07 4.57400e-08 1.82870e-06
364 6.21330e-07 6.80500e-08 2.72220e-06
365 9.19270e-07 1.00650e-07 4.02830e-06
366 1.35198e-06 1.47980e-07 5.92570e-06
367 1.97654e-06 2.16270e-07 8.66510e-06
368 2.87250e-06 3.14200e-07 1.25960e-05
369 4.14950e-06 4.53700e-07 1.82010e-05
370 5.95860e-06 6.51100e-07 2.61437e-05
371 8.50560e-06 9.28800e-07 3.73300e-05
372 1.20686e-05 1.31750e-06 5.29870e-05
373 1.70226e-05 1.85720e-06 7.47640e-05
374 2.38680e-05 2.60200e-06 1.04870e-04
375 3.32660e-05 3.62500e-06 1.46220e-04
376 4.60870e-05 5.01900e-06 2.02660e-04
377 6.34720e-05 6.90700e-06 2.79230e-04
378 8.68920e-05 9.44900e-06 3.82450e-04
379 1.18246e-04 1.28480e-05 5.20720e-04
380 1.59952e-04 1.73640e-05 7.04776e-04
381 2.15080e-04 2.33270e-05 9.48230e-04
382 2.87490e-04 3.11500e-05 1.26820e-03
383 3.81990e-04 4.13500e-05 1.68610e-03
384 5.04550e-04 5.45600e-05 2.22850e-03
385 6.62440e-04 7.15600e-05 2.92780e-03
386 8.64500e-04 9.33000e-05 3.82370e-03
387 1.12150e-03 1.20870e-04 4.96420e-03
388 1.44616e-03 1.55640e-04 6.40670e-03
389 1.85359e-03 1.99200e-04 8.21930e-03
390 2.36160e-03 2.53400e-04 1.04822e-02
391 2.99060e-03 3.20200e-04 1.32890e-02
392 3.76450e-03 4.02400e-04 1.67470e-02
393 4.71020e-03 5.02300e-04 2.09800e-02
394 5.85810e-03 6.23200e-04 2.61270e-02
395 7.24230e-03 7.68500e-04 3.23440e-02
396 8.89960e-03 9.41700e-04 3.98020e-02
397 1.08709e-02 1.14780e-03 4.86910e-02
398 1.31989e-02 1.39030e-03 5.92100e-02
399 1.59292e-02 1.67400e-03 7.15760e-02
400 1.91097e-02 2.00440e-03 8.60109e-02
401 2.27880e-02 2.38600e-03 1.02740e-01
402 2.70110e-02 2.82200e-03 1.22000e-01
403 3.18290e-02 3.31900e-03 1.44020e-01
404 3.72780e-02 3.88000e-03 1.68990e-01
405 4.34000e-02 4.50900e-03 1.97120e-01
406 5.02230e-02 5.20900e-03 2.28570e-01
407 5.77640e-02 5.98500e-03 2.63470e-01
408 6.60380e-02 6.83300e-03 3.01900e-01
409 7.50330e-02 7.75700e-03 3.43870e-01
410 8.47360e-02 8.75600e-03 3.89366e-01
411 9.50410e-02 9.81600e-03 4.37970e-01
412 1.05836e-01 1.09180e-02 4.89220e-01
413 1.17066e-01 1.20580e-02 5.42900e-01
414 1.28682e-01 1.32370e-02 5.98810e-01
415 1.40638e-01 1.44560e-02 6.56760e-01
416 1.52893e-01 1.57170e-02 7.16580e-01
417 1.65416e-01 1.70250e-02 7.78120e-01
418 1.78191e-01 1.83990e-02 8.41310e-01
419 1.91214e-01 1.98480e-02 9.06110e-01
420 2.04492e-01 2.13910e-02 9.72542e-01
421 2.17650e-01 2.29920e-02 1.03890e+00
422 2.30267e-01 2.45980e-02 1.10310e+00
423 2.42311e-01 2.62130e-02 1.16510e+00
424 2.53793e-01 2.78410e-02 1.22490e+00
425 2.64737e-01 2.94970e-02 1.28250e+00
426 2.75195e-01 3.11950e-02 1.33820e+00
427 2.85301e-01 3.29270e-02 1.39260e+00
428 2.95143e-01 3.47380e-02 1.44610e+00
429 3.04869e-01 3.66540e-02 1.49940e+00
430 3.14679e-01 3.86760e-02 1.55348e+00
431 3.24355e-01 4.07920e-02 1.60720e+00
432 3.33570e-01 4.29460e-02 1.65890e+00
433 3.42243e-01 4.51140e-02 1.70820e+00
434 3.50312e-01 4.73330e-02 1.75480e+00
435 3.57719e-01 4.96020e-02 1.79850e+00
436 3.64482e-01 5.19340e-02 1.83920e+00
437 3.70493e-01 5.43370e-02 1.87660e+00
438 3.75727e-01 5.68220e-02 1.91050e+00
439 3.80158e-01 5.93990e-02 1.94080e+00
440 3.83734e-01 6.20770e-02 1.96728e+00
441 3.86327e-01 6.47370e-02 1.98910e+00
442 3.87858e-01 6.72850e-02 2.00570e+00
443 3.88396e-01 6.97640e-02 2.01740e+00
444 3.87978e-01 7.22180e-02 2.02440e+00
445 3.86726e-01 7.47040e-02 2.02730e+00
446 3.84696e-01 7.72720e-02 2.02640e+00
447 3.82006e-01 7.99790e-02 2.02230e+00
448 3.78709e-01 8.28740e-02 2.01530e+00
449 3.74915e-01 8.60000e-02 2.00600e+00
450 3.70702e-01 8.94560e-02 1.99480e+00
451 3.66089e-01 9.29470e-02 1.98140e+00
452 3.61045e-01 9.62750e-02 1.96530e+00
453 3.55518e-01 9.95350e-02 1.94640e+00
454 3.49486e-01 1.02829e-01 1.92480e+00
455 3.42957e-01 1.06256e-01 1.90070e+00
456 3.35893e-01 1.09901e-01 1.87410e+00
457 3.28284e-01 1.13835e-01 1.84510e+00
458 3.20150e-01 1.18167e-01 1.81390e+00
459 3.11475e-01 1.22932e-01 1.78060e+00
460 3.02273e-01 1.28201e-01 1.74537e+00
461 2.92858e-01 1.33457e-01 1.70910e+00
462 2.83502e-01 1.38323e-01 1.67230e+00
463 2.74044e-01 1.43042e-01 1.63470e+00
464 2.64263e-01 1.47787e-01 1.59560e+00
465 2.54085e-01 1.52761e-01 1.55490e+00
466 2.43392e-01 1.58102e-01 1.51220e+00
467 2.32187e-01 1.63941e-01 1.46730e+00
468 2.20488e-01 1.70362e-01 1.41990e+00
469 2.08198e-01 1.77425e-01 1.37000e+00
470 1.95618e-01 1.85190e-01 1.31756e+00
471 1.83034e-01 1.93025e-01 1.26240e+00
472 1.70222e-01 2.00313e-01 1.20500e+00
473 1.57348e-01 2.07156e-01 1.14660e+00
474 1.44650e-01 2.13644e-01 1.08800e+00
475 1.32349e-01 2.19940e-01 1.03020e+00
476 1.20584e-01 2.26170e-01 9.73830e-01
477 1.09456e-01 2.32467e-01 9.19430e-01
478 9.90420e-02 2.39025e-01 8.67460e-01
479 8.93880e-02 2.45997e-01 8.18280e-01
480 8.05070e-02 2.53589e-01 7.72125e-01
481 7.20340e-02 2.61876e-01 7.28290e-01
482 6.37100e-02 2.70643e-01 6.86040e-01
483 5.56940e-02 2.79645e-01 6.45530e-01
484 4.81170e-02 2.88694e-01 6.06850e-01
485 4.10720e-02 2.97665e-01 5.70060e-01
486 3.46420e-02 3.06469e-01 5.35220e-01
487 2.88960e-02 3.15035e-01 5.02340e-01
488 2.38760e-02 3.23335e-01 4.71400e-01
489 1.96280e-02 3.31366e-01 4.42390e-01
490 1.61720e-02 3.39133e-01 4.15254e-01
491 1.33000e-02 3.47860e-01 3.90024e-01
492 1.07590e-02 3.58326e-01 3.66399e-01
493 8.54200e-03 3.70001e-01 3.44015e-01
494 6.66100e-03 3.82464e-01 3.22689e-01
495 5.13200e-03 3.95379e-01 3.02356e-01
496 3.98200e-03 4.08482e-01 2.83036e-01
497 3.23900e-03 4.21588e-01 2.64816e-01
498 2.93400e-03 4.34619e-01 2.47848e-01
499 3.11400e-03 4.47601e-01 2.32318e-01
500 3.81600e-03 4.60777e-01 2.18502e-01
501 5.09500e-03 4.74340e-01 2.05851e-01
502 6.93600e-03 4.88200e-01 1.93596e-01
503 9.29900e-03 5.02340e-01 1.81736e-01
504 1.21470e-02 5.16740e-01 1.70281e-01
505 1.54440e-02 5.31360e-01 1.59249e-01
506 1.91560e-02 5.46190e-01 1.48673e-01
507 2.32500e-02 5.61180e-01 1.38609e-01
508 2.76900e-02 5.76290e-01 1.29096e-01
509 3.24440e-02 5.91500e-01 1.20215e-01
510 3.74650e-02 6.06741e-01 1.12044e-01
511 4.29560e-02 6.22150e-01 1.04710e-01
512 4.91140e-02 6.37830e-01 9.81960e-02
513 5.59200e-02 6.53710e-01 9.23610e-02
514 6.33490e-02 6.69680e-01 8.70880e-02
515 7.13580e-02 6.85660e-01 8.22480e-02
516 7.99010e-02 7.01550e-01 7.77440e-02
517 8.89090e-02 7.17230e-01 7.34560e-02
518 9.82930e-02 7.32570e-01 6.92680e-02
519 1.07949e-01 7.47460e-01 6.50600e-02
520 1.17749e-01 7.61757e-01 6.07090e-02
521 1.27839e-01 7.75340e-01 5.64570e-02
522 1.38450e-01 7.88220e-01 5.26090e-02
523 1.49516e-01 8.00460e-01 4.91220e-02
524 1.61041e-01 8.12140e-01 4.59540e-02
525 1.72953e-01 8.23330e-01 4.30500e-02
526 1.85209e-01 8.34120e-01 4.03680e-02
527 1.97755e-01 8.44600e-01 3.78390e-02
528 2.10538e-01 8.54870e-01 3.53840e-02
529 2.23460e-01 8.65040e-01 3.29490e-02
530 2.36491e-01 8.75211e-01 3.04510e-02
531 2.49633e-01 8.85370e-01 2.80290e-02
532 2.62972e-01 8.95370e-01 2.58620e-02
533 2.76515e-01 9.05150e-01 2.39200e-02
534 2.90269e-01 9.14650e-01 2.21740e-02
535 3.04213e-01 9.23810e-01 2.05840e-02
536 3.18361e-01 9.32550e-01 1.91270e-02
537 3.32705e-01 9.40810e-01 1.77400e-02
538 3.47232e-01 9.48520e-01 1.64030e-02
539 3.61926e-01 9.55600e-01 1.50640e-02
540 3.76772e-01 9.61988e-01 1.36760e-02
541 3.91683e-01 9.67540e-01 1.23080e-02
542 4.06594e-01 9.72230e-01 1.10560e-02
543 4.21539e-01 9.76170e-01 9.91500e-03
544 4.36517e-01 9.79460e-01 8.87200e-03
545 4.51584e-01 9.82200e-01 7.91800e-03
546 4.66782e-01 9.84520e-01 7.03000e-03
547 4.82147e-01 9.86520e-01 6.22300e-03
548 4.97738e-01 9.88320e-01 5.45300e-03
549 5.13606e-01 9.90020e-01 4.71400e-03
550 5.29826e-01 9.91761e-01 3.98800e-03
551 5.46440e-01 9.93530e-01 3.28900e-03
552 5.63426e-01 9.95230e-01 2.64600e-03
553 5.80726e-01 9.96770e-01 2.06300e-03
554 5.98290e-01 9.98090e-01 1.53300e-03
555 6.16053e-01 9.99110e-01 1.09100e-03
556 6.33948e-01 9.99770e-01 7.11000e-04
557 6.51901e-01 1.00000e+00 4.07000e-04
558 6.69824e-01 9.99710e-01 1.84000e-04
559 6.87632e-01 9.98850e-01 4.70000e-05
560 7.05224e-01 9.97340e-01 0.00000e+00
561 7.22773e-01 9.95260e-01 0.00000e+00
562 7.40483e-01 9.92740e-01 0.00000e+00
563 7.58273e-01 9.89750e-01 0.00000e+00
564 7.76083e-01 9.86300e-01 0.00000e+00
565 7.93832e-01 9.82380e-01 0.00000e+00
566 8.11436e-01 9.77980e-01 0.00000e+00
567 8.28822e-01 9.73110e-01 0.00000e+00
568 8.45879e-01 9.67740e-01 0.00000e+00
569 8.62525e-01 9.61890e-01 0.00000e+00
570 8.78655e-01 9.55552e-01 0.00000e+00
571 8.94208e-01 9.48601e-01 0.00000e+00
572 9.09206e-01 9.40981e-01 0.00000e+00
573 9.23672e-01 9.32798e-01 0.00000e+00
574 9.37638e-01 9.24158e-01 0.00000e+00
575 9.51162e-01 9.15175e-01 0.00000e+00
576 9.64283e-01 9.05954e-01 0.00000e+00
577 9.77068e-01 8.96608e-01 0.00000e+00
578 9.89590e-01 8.87249e-01 0.00000e+00
579 1.00191e+00 8.77986e-01 0.00000e+00
580 1.01416e+00 8.68934e-01 0.00000e+00
581 1.02650e+00 8.60164e-01 0.00000e+00
582 1.03880e+00 8.51519e-01 0.00000e+00
583 1.05100e+00 8.42963e-01 0.00000e+00
584 1.06290e+00 8.34393e-01 0.00000e+00
585 1.07430e+00 8.25623e-01 0.00000e+00
586 1.08520e+00 8.16764e-01 0.00000e+00
587 1.09520e+00 8.07544e-01 0.00000e+00
588 1.10420e+00 7.97947e-01 0.00000e+00
589 1.11200e+00 7.87893e-01 0.00000e+00
590 1.11852e+00 7.77405e-01 0.00000e+00
591 1.12380e+00 7.66490e-01 0.00000e+00
592 1.12800e+00 7.55309e-01 0.00000e+00
593 1.13110e+00 7.43845e-01 0.00000e+00
594 1.13320e+00 7.32190e-01 0.00000e+00
595 1.13430e+00 7.20353e-01 0.00000e+00
596 1.13430e+00 7.08281e-01 0.00000e+00
597 1.13330e+00 6.96055e-01 0.00000e+00
598 1.13120e+00 6.83621e-01 0.00000e+00
599 1.12810e+00 6.71048e-01 0.00000e+00
600 1.12399e+00 6.58341e-01 0.00000e+00
601 1.11890e+00 6.45545e-01 0.00000e+00
602 1.11290e+00 6.32718e-01 0.00000e+00
603 1.10590e+00 6.19815e-01 0.00000e+00
604 1.09800e+00 6.06887e-01 0.00000e+00
605 1.08910e+00 5.93878e-01 0.00000e+00
606 1.07920e+00 5.80781e-01 0.00000e+00
607 1.06840e+00 5.67653e-01 0.00000e+00
608 1.05670e+00 5.54490e-01 0.00000e+00
609 1.04400e+00 5.41228e-01 0.00000e+00
610 1.03048e+00 5.27963e-01 0.00000e+00
611 1.01600e+00 5.14634e-01 0.00000e+00
612 1.00080e+00 5.01363e-01 0.00000e+00
613 9.84790e-01 4.88124e-01 0.00000e+00
614 9.68080e-01 4.74935e-01 0.00000e+00
615 9.50740e-01 4.61834e-01 0.00000e+00
616 9.32800e-01 4.48823e-01 0.00000e+00
617 9.14340e-01 4.35917e-01 0.00000e+00
618 8.95390e-01 4.23153e-01 0.00000e+00
619 8.76030e-01 4.10526e-01 0.00000e+00
620 8.56297e-01 3.98057e-01 0.00000e+00
621 8.36350e-01 3.85835e-01 0.00000e+00
622 8.16290e-01 3.73951e-01 0.00000e+00
623 7.96050e-01 3.62311e-01 0.00000e+00
624 7.75610e-01 3.50863e-01 0.00000e+00
625 7.54930e-01 3.39554e-01 0.00000e+00
626 7.33990e-01 3.28309e-01 0.00000e+00
627 7.12780e-01 3.17118e-01 0.00000e+00
628 6.91290e-01 3.05936e-01 0.00000e+00
629 6.69520e-01 2.94737e-01 0.00000e+00
630 6.47467e-01 2.83493e-01 0.00000e+00
631 6.25110e-01 2.72222e-01 0.00000e+00
632 6.02520e-01 2.60990e-01 0.00000e+00
633 5.79890e-01 2.49877e-01 0.00000e+00
634 5.57370e-01 2.38946e-01 0.00000e+00
635 5.35110e-01 2.28254e-01 0.00000e+00
636 5.13240e-01 2.17853e-01 0.00000e+00
637 4.91860e-01 2.07780e-01 0.00000e+00
638 4.71080e-01 1.98072e-01 0.00000e+00
639 4.50960e-01 1.88748e-01 0.00000e+00
640 4.31567e-01 1.79828e-01 0.00000e+00
641 4.12870e-01 1.71285e-01 0.00000e+00
642 3.94750e-01 1.63059e-01 0.00000e+00
643 3.77210e-01 1.55151e-01 0.00000e+00
644 3.60190e-01 1.47535e-01 0.00000e+00
645 3.43690e-01 1.40211e-01 0.00000e+00
646 3.27690e-01 1.33170e-01 0.00000e+00
647 3.12170e-01 1.26400e-01 0.00000e+00
648 2.97110e-01 1.19892e-01 0.00000e+00
649 2.82500e-01 1.13640e-01 0.00000e+00
650 2.68329e-01 1.07633e-01 0.00000e+00
651 2.54590e-01 1.01870e-01 0.00000e+00
652 2.41300e-01 9.63470e-02 0.00000e+00
653 2.28480e-01 9.10630e-02 0.00000e+00
654 2.16140e-01 8.60100e-02 0.00000e+00
655 2.04300e-01 8.11870e-02 0.00000e+00
656 1.92950e-01 7.65830e-02 0.00000e+00
657 1.82110e-01 7.21980e-02 0.00000e+00
658 1.71770e-01 6.80240e-02 0.00000e+00
659 1.61920e-01 6.40520e-02 0.00000e+00
660 1.52568e-01 6.02810e-02 0.00000e+00
661 1.43670e-01 5.66970e-02 0.00000e+00
662 1.35200e-01 5.32920e-02 0.00000e+00
663 1.27130e-01 5.00590e-02 0.00000e+00
664 1.19480e-01 4.69980e-02 0.00000e+00
665 1.12210e-01 4.40960e-02 0.00000e+00
666 1.05310e-01 4.13450e-02 0.00000e+00
667 9.87860e-02 3.87507e-02 0.00000e+00
668 9.26100e-02 3.62978e-02 0.00000e+00
669 8.67730e-02 3.39832e-02 0.00000e+00
670 8.12606e-02 3.18004e-02 0.00000e+00
671 7.60480e-02 2.97395e-02 0.00000e+00
672 7.11140e-02 2.77918e-02 0.00000e+00
673 6.64540e-02 2.59551e-02 0.00000e+00
674 6.20620e-02 2.42263e-02 0.00000e+00
675 5.79300e-02 2.26017e-02 0.00000e+00
676 5.40500e-02 2.10779e-02 0.00000e+00
677 5.04120e-02 1.96505e-02 0.00000e+00
678 4.70060e-02 1.83153e-02 0.00000e+00
679 4.38230e-02 1.70686e-02 0.00000e+00
680 4.08508e-02 1.59051e-02 0.00000e+00
681 3.80720e-02 1.48183e-02 0.00000e+00
682 3.54680e-02 1.38008e-02 0.00000e+00
683 3.30310e-02 1.28495e-02 0.00000e+00
684 3.07530e-02 1.19607e-02 0.00000e+00
685 2.86230e-02 1.11303e-02 0.00000e+00
686 2.66350e-02 1.03555e-02 0.00000e+00
687 2.47810e-02 9.63320e-03 0.00000e+00
688 2.30520e-02 8.95990e-03 0.00000e+00
689 2.14410e-02 8.33240e-03 0.00000e+00
690 1.99413e-02 7.74880e-03 0.00000e+00
691 1.85440e-02 7.20460e-03 0.00000e+00
692 1.72410e-02 6.69750e-03 0.00000e+00
693 1.60270e-02 6.22510e-03 0.00000e+00
694 1.48960e-02 5.78500e-03 0.00000e+00
695 1.38420e-02 5.37510e-03 0.00000e+00
696 1.28620e-02 4.99410e-03 0.00000e+00
697 1.19490e-02 4.63920e-03 0.00000e+00
