[CIE_UCS] 3201
 Tc	      urt	      vrt	   xt	   yt	   ur	   vr	  cr	  dr	 Ur1	 Ur2	 Ur3	 Ur4	 Ur5	 Ur6	 Ur7	 Ur8	 Ur9	Ur10	 Ur11	 Ur12	Ur13	 Ur14	Vr1	Vr2	Vr3	Vr4	 Vr5	 Vr6	 Vr7	 Vr8	 Vr9	Vr10	Vr11	 Vr12	Vr13	Vr14	 Wr1	 Wr2	 Wr3	 Wr4	 Wr5	 Wr6	 Wr7	 Wr8	 Wr9	Wr10	Wr11	Wr12	Wr13	Wr14
2300	0.283617903259	0.356343883503	0.49570	0.41520	0.28360	0.3563	0.4292	1.6630	39.69	15.82	-17.73	-43.38	-37.38	-21.62	21.04	51.15	131.36	24.88	-52.07	-33.86	34.64	-12.69	0.37	4.70	9.35	5.59	-0.88	-8.16	-7.77	-6.30	-5.07	10.41	4.95	-16.91	2.68	5.26	63.95	61.60	60.84	56.92	58.06	57.43	60.92	65.00	50.04	83.58	46.59	22.24	82.44	39.45
2302	0.283493499476	0.356322607727	0.49550	0.41520	0.28360	0.3563	0.4292	1.6630	39.69	15.82	-17.73	-43.38	-37.38	-21.62	21.04	51.15	131.36	24.88	-52.07	-33.86	34.64	-12.69	0.37	4.70	9.35	5.59	-0.88	-8.16	-7.77	-6.30	-5.07	10.41	4.95	-16.91	2.68	5.26	63.95	61.60	60.84	56.92	58.06	57.43	60.92	65.00	50.04	83.58	46.59	22.24	82.44	39.45
2304	0.283369313151	0.356301297951	0.49531	0.41519	0.28360	0.3563	0.4292	1.6630	39.69	15.82	-17.73	-43.38	-37.38	-21.62	21.04	51.15	131.36	24.88	-52.07	-33.86	34.64	-12.69	0.37	4.70	9.35	5.59	-0.88	-8.16	-7.77	-6.30	-5.07	10.41	4.95	-16.91	2.68	5.26	63.95	61.60	60.84	56.92	58.06	57.43	60.92	65.00	50.04	83.58	46.59	22.24	82.44	39.45
2306	0.283245343797	0.356279954309	0.49511	0.41518	0.28360	0.3563	0.4292	1.6630	39.69	15.82	-17.73	-43.38	-37.38	-21.62	21.04	51.15	131.36	24.88	-52.07	-33.86	34.64	-12.69	0.37	4.70	9.35	5.59	-0.88	-8.16	-7.77	-6.30	-5.07	10.41	4.95	-16.91	2.68	5.26	63.95	61.60	60.84	56.92	58.06	57.43	60.92	65.00	50.04	83.58	46.59	22.24	82.44	39.45
2308	0.283121590930	0.356258576934	0.49492	0.41518	0.28360	0.3563	0.4292	1.6630	39.69	15.82	-17.73	-43.38	-37.38	-21.62	21.04	51.15	131.36	24.88	-52.07	-33.86	34.64	-12.69	0.37	4.70	9.35	5.59	-0.88	-8.16	-7.77	-6.30	-5.07	10.41	4.95	-16.91	2.68	5.26	63.95	61.60	60.84	56.92	58.06	57.43	60.92	65.00	50.04	83.58	46.59	22.24	82.44	39.45
2310	0.282998054065	0.356237165960	0.49472	0.41517	0.28360	0.3563	0.4292	1.6630	39.69	15.82	-17.73	-43.38	-37.38	-21.62	21.04	51.15	131.36	24.88	-52.07	-33.86	34.64	-12.69	0.37	4.70	9.35	5.59	-0.88	-8.16	-7.77	-6.30	-5.07	10.41	4.95	-16.91	2.68	5.26	63.95	61.60	60.84	56.92	58.06	57.43	60.92	65.00	50.04	83.58	46.59	22.24	82.44	39.45
2312	0.282874732720	0.356215721518	0.49453	0.41516	0.28360	0.3563	0.4292	1.6630	39.69	15.82	-17.73	-43.38	-37.38	-21.62	21.04	51.15	131.36	24.88	-52.07	-33.86	34.64	-12.69	0.37	4.70	9.35	5.59	-0.88	-8.16	-7.77	-6.30	-5.07	10.41	4.95	-16.91	2.68	5.26	63.95	61.60	60.84	56.92	58.06	57.43	60.92	65.00	50.04	83.58	46.59	22.24	82.44	39.45
2314	0.282751626414	0.356194243743	0.49434	0.41516	0.28360	0.3563	0.4292	1.6630	39.69	15.82	-17.73	-43.38	-37.38	-21.62	21.04	51.15	131.36	24.88	-52.07	-33.86	34.64	-12.69	0.37	4.70	9.35	5.59	-0.88	-8.16	-7.77	-6.30	-5.07	10.41	4.95	-16.91	2.68	5.26	63.95	61.60	60.84	56.92	58.06	57.43	60.92	65.00	50.04	83.58	46.59	22.24	82.44	39.45
2316	0.282628734665	0.356172732765	0.49414	0.41515	0.28360	0.3563	0.4292	1.6630	39.69	15.82	-17.73	-43.38	-37.38	-21.62	21.04	51.15	131.36	24.88	-52.07	-33.86	34.64	-12.69	0.37	4.70	9.35	5.59	-0.88	-8.16	-7.77	-6.30	-5.07	10.41	4.95	-16.91	2.68	5.26	63.95	61.60	60.84	56.92	58.06	57.43	60.92	65.00	50.04	83.58	46.59	22.24	82.44	39.45
2318	0.282506056997	0.356151188717	0.49395	0.41514	0.28360	0.3563	0.4292	1.6630	39.69	15.82	-17.73	-43.38	-37.38	-21.62	21.04	51.15	131.36	24.88	-52.07	-33.86	34.64	-12.69	0.37	4.70	9.35	5.59	-0.88	-8.16	-7.77	-6.30	-5.07	10.41	4.95	-16.91	2.68	5.26	63.95	61.60	60.84	56.92	58.06	57.43	60.92	65.00	50.04	83.58	46.59	22.24	82.44	39.45
