[CIE_UCS] 3201																																																		
 Tc	      urt	      vrt	   xt	   yt	   ur	   vr	  cr	  dr	 Ur1	 Ur2	 Ur3	 Ur4	 Ur5	 Ur6	 Ur7	 Ur8	 Ur9	Ur10	 Ur11	 Ur12	Ur13	 Ur14	Vr1	Vr2	Vr3	Vr4	 Vr5	 Vr6	 Vr7	 Vr8	 Vr9	Vr10	Vr11	 Vr12	Vr13	Vr14	 Wr1	 Wr2	 Wr3	 Wr4	 Wr5	 Wr6	 Wr7	 Wr8	 Wr9	Wr10	Wr11	Wr12	Wr13	Wr14
2300	0.283617903	0.356343884	0.4957	0.4152	0.2836	0.3563	0.4292	1.663	39.68	15.78	-17.74	-43.39	-37.43	-21.67	20.78	51.14	131.36	24.63	-52.1	-33.89	34.6	-12.66	0.36	4.7	9.35	5.6	-0.87	-8.15	-7.77	-6.3	-5.07	10.44	4.95	-16.92	2.68	5.25	63.94	61.61	60.85	56.93	58.06	57.44	60.9	65.01	50.06	83.61	46.57	22.24	82.45	39.44
2302	0.283493499	0.356322608	0.4955	0.4152	0.2835	0.3563	0.4302	1.6635	39.68	15.78	-17.73	-43.39	-37.42	-21.68	20.77	51.12	131.36	24.65	-52.09	-33.9	34.61	-12.65	0.37	4.71	9.37	5.6	-0.88	-8.16	-7.78	-6.3	-5.06	10.46	4.96	-16.95	2.69	5.26	63.94	61.61	60.85	56.93	58.06	57.44	60.9	65	50.05	83.61	46.58	22.25	82.44	39.44
2304	0.283369313	0.356301298	0.49531	0.41519	0.2834	0.3563	0.4311	1.664	39.68	15.79	-17.72	-43.38	-37.42	-21.69	20.75	51.1	131.35	24.66	-52.09	-33.9	34.61	-12.64	0.38	4.73	9.38	5.61	-0.89	-8.18	-7.79	-6.31	-5.05	10.49	4.96	-16.98	2.7	5.27	63.93	61.61	60.85	56.94	58.07	57.45	60.89	65	50.04	83.6	46.59	22.26	82.44	39.44
2306	0.283245344	0.356279954	0.49511	0.41518	0.2832	0.3563	0.4321	1.6645	39.68	15.8	-17.7	-43.37	-37.41	-21.7	20.74	51.08	131.35	24.68	-52.09	-33.91	34.62	-12.63	0.39	4.74	9.4	5.62	-0.89	-8.2	-7.8	-6.31	-5.03	10.52	4.97	-17.01	2.72	5.28	63.93	61.6	60.85	56.94	58.07	57.45	60.89	64.99	50.02	83.6	46.59	22.26	82.44	39.45
2308	0.283121591	0.356258577	0.49492	0.41518	0.2831	0.3563	0.4331	1.6651	39.68	15.8	-17.69	-43.37	-37.41	-21.71	20.72	51.05	131.34	24.69	-52.09	-33.92	34.62	-12.62	0.39	4.75	9.42	5.62	-0.9	-8.22	-7.82	-6.32	-5.02	10.55	4.97	-17.04	2.73	5.29	63.93	61.6	60.86	56.95	58.08	57.45	60.89	64.99	50.01	83.6	46.6	22.27	82.43	39.45
2310	0.282998054	0.356237166	0.49472	0.41517	0.283	0.3562	0.4341	1.6656	39.69	15.81	-17.67	-43.36	-37.41	-21.72	20.7	51.03	131.34	24.71	-52.09	-33.92	34.63	-12.62	0.4	4.77	9.43	5.63	-0.91	-8.24	-7.83	-6.32	-5	10.57	4.98	-17.06	2.74	5.3	63.92	61.6	60.86	56.95	58.08	57.45	60.89	64.98	49.99	83.59	46.6	22.28	82.43	39.45
2312	0.282874733	0.356215722	0.49453	0.41516	0.2829	0.3562	0.435	1.6661	39.69	15.82	-17.66	-43.35	-37.4	-21.73	20.69	51.01	131.33	24.72	-52.09	-33.93	34.64	-12.61	0.41	4.78	9.45	5.63	-0.91	-8.26	-7.84	-6.33	-4.99	10.6	4.98	-17.09	2.75	5.31	63.92	61.6	60.86	56.96	58.09	57.46	60.89	64.98	49.98	83.59	46.61	22.29	82.42	39.45
2314	0.282751626	0.356194244	0.49434	0.41516	0.2827	0.3562	0.436	1.6666	39.69	15.82	-17.65	-43.34	-37.4	-21.74	20.67	50.99	131.33	24.74	-52.08	-33.94	34.64	-12.6	0.42	4.79	9.47	5.64	-0.92	-8.28	-7.86	-6.33	-4.97	10.63	4.99	-17.12	2.76	5.31	63.91	61.6	60.86	56.96	58.09	57.46	60.88	64.97	49.96	83.59	46.62	22.3	82.42	39.45
2316	0.282628735	0.356172733	0.49414	0.41515	0.2826	0.3562	0.437	1.6671	39.69	15.83	-17.63	-43.34	-37.39	-21.75	20.65	50.97	131.32	24.76	-52.08	-33.94	34.65	-12.59	0.42	4.81	9.49	5.65	-0.93	-8.3	-7.87	-6.33	-4.96	10.66	4.99	-17.15	2.78	5.32	63.91	61.59	60.86	56.97	58.09	57.46	60.88	64.97	49.95	83.58	46.62	22.3	82.42	39.45
2318	0.282506057	0.356151189	0.49395	0.41514	0.2825	0.3562	0.438	1.6676	39.69	15.84	-17.62	-43.33	-37.39	-21.76	20.64	50.95	131.32	24.77	-52.08	-33.95	34.65	-12.58	0.43	4.82	9.5	5.65	-0.94	-8.32	-7.88	-6.34	-4.95	10.68	4.99	-17.18	2.79	5.33	63.9	61.59	60.86	56.97	58.1	57.47	60.88	64.96	49.93	83.58	46.63	22.31	82.41	39.45
