[Mesoptic_Vision]
修正系数B	明视觉亮度(cd/m2)
光源	S/P	0.01	0.03	0.10	0.15	0.20	0.25	0.30	0.50	0.75	1.00	2.00	3.00
2200k 高钠	0.65	0.687	0.797	0.873	0.892	0.905	0.914	0.921	0.939	0.952	0.96	0.979	0.988
3300k LED	1.47	1.330	1.233	1.153	1.131	1.116	1.105	1.097	1.075	1.059	1.049	1.026	1.014
3500k LED	1.48	1.332	1.235	1.154	1.132	1.117	1.106	1.098	1.076	1.059	1.049	1.026	1.014
4000k LED	1.51	1.357	1.251	1.165	1.141	1.125	1.114	1.105	1.081	1.064	1.053	1.028	1.015
4500k LED	1.57	1.400	1.281	1.184	1.158	1.140	1.128	1.118	1.091	1.072	1.059	1.031	1.017
4600k LED	1.59	1.410	1.288	1.189	1.162	1.144	1.131	1.121	1.093	1.074	1.061	1.032	1.017
5000k LED	1.73	1.498	1.351	1.231	1.198	1.176	1.160	1.148	1.114	1.091	1.075	1.400	1.021
5300k LED	1.86	1.576	1.407	1.269	1.231	1.205	1.186	1.172	1.133	1.106	1.088	1.047	1.025
5500k LED	1.93	0.618	1.437	1.290	1.249	1.221	1.200	1.186	1.144	1.114	1.095	1.051	1.027
6000k LED	2.08	1.703	1.499	1.332	1.285	1.254	1.230	1.213	1.165	1.131	1.109	1.058	1.031
6500k LED	2.15	1.741	1.528	1.351	1.301	1.268	1.243	1.225	1.175	1.138	1.115	1.062	1.033
7000k LED	2.20	1.769	1.549	1.365	1.313	1.279	1.253	1.234	1.182	1.144	1.120	1.064	1.034
7500k LED	2.25	1.797	1.569	1.379	1.325	1.289	1.263	1.243	1.189	1.150	1.124	1.066	1.035
8000k LED	2.30	1.823	1.588	1.392	1.336	1.299	1.273	1.251	1.195	1.155	1.128	1.069	1.037
8500k LED	2.35	1.853	1.609	1.406	1.348	1.310	1.282	1.261	1.202	1.161	1.133	1.071	1.038
9000k LED	2.41	1.888	1.634	1.423	1.363	1.323	1.292	1.272	1.211	1.168	1.139	1.074	1.040
9500k LED	2.49	1.927	1.663	1.442	1.379	1.338	1.301	1.285	1.220	1.176	1.145	1.078	1.042
10000k LED	2.57	1.969	1.694	1.463	1.398	1.354	1.319	1.298	1.231	1.184	1.152	1.082	1.044
11000k LED	2.75	2.065	1.764	1.511	1.439	1.391	1.356	1.329	1.256	1.203	1.169	1.091	1.049
