[Photopic_Vision] 81
Wave	Ratio
380	0.00004
385	0.00006
390	0.00012
395	0.00022
400	0.00040
405	0.00064
410	0.00121
415	0.00218
420	0.00400
425	0.00730
430	0.01160
435	0.01684
440	0.02300
445	0.02980
450	0.03800
455	0.04800
460	0.06000
465	0.07390
470	0.09098
475	0.11260
480	0.13902
485	0.16930
490	0.20802
495	0.25860
500	0.32300
505	0.40730
510	0.50300
515	0.60820
520	0.71000
525	0.79320
530	0.86200
535	0.91485
540	0.95400
545	0.98030
550	0.99495
555	1.00000
560	0.99500
565	0.97860
570	0.95200
575	0.91540
580	0.87000
585	0.81630
590	0.75700
595	0.69490
600	0.63100
605	0.56680
610	0.50300
615	0.44120
620	0.38100
625	0.32100
630	0.26500
635	0.21700
640	0.17500
645	0.13820
650	0.10700
655	0.08160
660	0.06100
665	0.04458
670	0.03200
675	0.02320
680	0.01700
685	0.01192
690	0.00821
695	0.00572
700	0.00410
705	0.00293
710	0.00209
715	0.00148
720	0.00105
725	0.00074
730	0.00052
735	0.00036
740	0.00025
745	0.00017
750	0.00012
755	0.00008
760	0.00006
765	0.00004
770	0.00003
775	0.00002
780	0.00001
